Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,142.250000,142.860001,140.570007,141.369995,101.536598,94807600
2007-01-04,141.229996,142.050003,140.610001,141.669998,101.752052,69620600
2007-01-05,141.330002,141.399994,140.380005,140.539993,100.940468,76645300
2007-01-08,140.820007,141.410004,140.250000,141.190002,101.407280,71655000
2007-01-09,141.309998,141.600006,140.399994,141.070007,101.321106,75680100
2007-01-10,140.580002,141.570007,140.300003,141.539993,101.658730,72428000
2007-01-11,141.580002,142.619995,141.500000,142.160004,102.103981,54476800
2007-01-12,142.149994,143.240005,142.110001,143.240005,102.879684,55370600
2007-01-16,143.070007,143.440002,142.729996,142.960007,102.678558,44871300
2007-01-17,142.850006,143.460007,142.729996,143.020004,102.721725,50241400
2007-01-18,143.169998,143.259995,142.309998,142.539993,102.376938,68177300
2007-01-19,142.539993,143.100006,142.460007,142.820007,102.578011,56973000
2007-01-22,143.070007,143.100006,141.929993,142.380005,102.262001,60253600
2007-01-23,142.259995,143.080002,142.059998,142.800003,102.563675,54064400
2007-01-24,142.970001,143.979996,142.910004,143.949997,103.389626,55834700
2007-01-25,143.860001,143.919998,142.009995,142.259995,102.175827,73583800
2007-01-26,142.570007,142.649994,141.580002,142.130005,102.082436,67255600
2007-01-29,142.190002,142.800003,141.740005,142.050003,102.025024,66114600
2007-01-30,142.350006,142.860001,142.059998,142.789993,102.556488,70407600
2007-01-31,142.630005,144.130005,142.399994,143.750000,103.245995,91868600
2007-02-01,144.149994,144.660004,143.910004,144.610001,103.863686,69312400
2007-02-02,144.729996,144.949997,144.380005,144.809998,104.007301,49607000
2007-02-05,144.699997,144.940002,144.339996,144.850006,104.036049,45705300
2007-02-06,144.970001,145.029999,144.330002,144.889999,104.064789,57081300
2007-02-07,145.119995,145.360001,144.570007,145.210007,104.294617,55669700
2007-02-08,144.779999,145.119995,144.270004,145.020004,104.158134,70641000
2007-02-09,145.059998,145.330002,143.389999,143.940002,103.382462,79084400
2007-02-12,143.940002,144.039993,143.190002,143.449997,103.030502,65657000
2007-02-13,143.770004,144.899994,143.759995,144.660004,103.899567,64081800
2007-02-14,144.800003,145.899994,144.779999,145.610001,104.581894,66039400
2007-02-15,145.669998,145.949997,145.429993,145.800003,104.718361,38715200
2007-02-16,145.440002,145.759995,145.229996,145.729996,104.668098,39841800
2007-02-20,145.559998,146.199997,145.000000,146.039993,104.890755,56911800
2007-02-21,145.610001,146.070007,145.350006,145.979996,104.847649,63971600
2007-02-22,146.050003,146.419998,145.169998,145.869995,104.768639,79067400
2007-02-23,145.740005,145.789993,145.029999,145.300003,104.359230,71966200
2007-02-26,145.830002,145.949997,144.750000,145.169998,104.265869,69192800
2007-02-27,143.880005,144.199997,139.000000,139.500000,100.193481,274466500
2007-02-28,140.389999,141.979996,139.800003,140.929993,101.220566,177536300
2007-03-01,139.339996,141.250000,138.050003,140.509995,100.918892,212828600
2007-03-02,140.050003,140.660004,138.660004,138.669998,99.597359,162574000
2007-03-05,137.929993,139.580002,137.330002,137.350006,98.649284,143750400
2007-03-06,138.779999,140.119995,137.720001,139.699997,100.337128,143333300
